value,code_length,code,count,probability,entropy,decoded_value,section_size
0,2,01,2439990,0.737986,0.32348522897250226,0,2
2,7,1001111,32034,0.009689,0.06481302094982469,2,2
4,7,1010001,31510,0.00953,0.06397960092413227,5,4
8,7,1110001,23928,0.007237,0.0514586352023375,10,4
12,7,1011111,24942,0.007544,0.053187600891834684,13,4
16,8,10000101,19476,0.005891,0.043633858180253,17,4
20,8,10001011,19350,0.005852,0.04340637068744549,21,4
24,8,10001111,18883,0.005711,0.042560081563704076,25,4
28,8,10000111,19397,0.005867,0.043491268873593045,29,4
32,8,10010001,18820,0.005692,0.0424455310082998,33,4
36,8,10000011,19615,0.005933,0.043884404059192056,37,4
40,8,10011001,16398,0.00496,0.037968807075601595,41,4
44,8,10010101,16555,0.005007,0.03826349951257707,45,4
48,8,10001001,19358,0.005855,0.043420824957061184,50,4
52,8,10101011,14381,0.00435,0.03412215883511932,54,4
56,8,11110011,10846,0.00328,0.02706970975941966,57,4
60,8,11101001,11459,0.003466,0.028324747501200512,61,4
64,8,10110111,12643,0.003824,0.030708945211176307,65,4
68,8,11101111,11056,0.003344,0.027501318045679637,70,4
72,8,10100111,14867,0.004497,0.03505969375588875,74,4
76,9,100100111,8688,0.002628,0.02252476877724182,77,4
80,8,11101101,11290,0.003415,0.027980204095835542,82,4
84,8,11111111,10101,0.003055,0.025523971503927385,86,4
88,7,1111011,21128,0.00639,0.04658439260649839,92,8
96,9,101010011,7121,0.002154,0.019080131749576512,97,4
100,9,100101111,8132,0.00246,0.02131794261009864,102,4
104,8,10000001,19851,0.006004,0.04430880853940497,107,8
112,9,100110101,8062,0.002438,0.02116485104753067,114,4
116,9,101011101,6809,0.002059,0.018377267530465338,118,4
120,9,101101001,6400,0.001936,0.017446386157234182,121,4
124,9,101011111,6606,0.001998,0.017916622376683098,126,4
128,9,101010001,7673,0.002321,0.020309202021281243,129,4
132,9,101011001,6916,0.002092,0.018619002689504754,134,4
136,9,100100101,8807,0.002664,0.022781012158397868,138,4
140,8,11111011,10339,0.003127,0.02602030279042768,142,4
144,9,101100011,6537,0.001977,0.017759432678879864,146,4
148,9,111001001,6168,0.001866,0.016913330288791162,149,4
152,8,10100101,15180,0.004591,0.03565981231269161,153,4
156,9,101110101,6275,0.001898,0.01715964394751094,158,4
160,9,100110111,7850,0.002374,0.02069957478793322,162,4
164,9,101100001,6592,0.001994,0.01788475435249138,165,4
168,9,111010101,5773,0.001746,0.01599691446417078,169,4
172,9,100101101,8370,0.002532,0.021836500562906196,173,4
176,9,111001011,5984,0.00181,0.016487860818826413,178,4
180,10,1000110001,4966,0.001502,0.014087014430295234,181,4
184,9,101110111,6190,0.001872,0.016964039907287943,185,4
188,8,11111101,10171,0.003076,0.025670202752290625,190,4
192,9,111010111,5668,0.001714,0.015751358188803147,193,4
196,9,111100001,5499,0.001663,0.015354340176524477,197,4
200,9,101110011,6291,0.001903,0.017196407137638328,201,4
204,10,1000110011,4950,0.001497,0.014048597683269005,206,4
208,9,111001101,5793,0.001752,0.016043592139251415,209,4
212,9,111100011,5386,0.001629,0.015087618272754323,214,4
216,9,111110001,5321,0.001609,0.014933726860770826,218,4
220,9,101011011,6881,0.002081,0.018540010486746125,222,4
224,9,100011011,9302,0.002813,0.023839473284578604,225,4
228,9,101110001,6306,0.001907,0.017230856501103457,229,4
232,9,111110011,5241,0.001585,0.01474384595397778,234,4
236,8,10110011,12752,0.003857,0.030925931913350264,238,4
240,9,111001111,5777,0.001747,0.0160062524145456,241,4
244,9,101101011,6332,0.001915,0.01729053187105645,246,4
248,4,1101,181298,0.054834,0.22968887843942565,249,4
